subsr,chnl_nm,in_dt,use_tms,pgm_nm,SMRY,ACTR_DISP
63401000,SBS,20240309074955,652,SBS 뉴스토리,"",""
65034000,SBS,20240309065747,4375,SBS 뉴스토리,"",""
67113000,GS SHOP,20240309161619,181,[오늘의 선택] 폴햄 티셔츠,"",""
60156000,GS SHOP,20240309161719,8,[오늘의 선택] 폴햄 티셔츠,"",""
60466000,GS SHOP,20240309162837,405,[오늘의 선택] 폴햄 티셔츠,"",""
65121000,GS SHOP,20240309162729,1,[오늘의 선택] 폴햄 티셔츠,"",""
64720000,채널나우,20240305212944,4521,언포게터블(20회),한 번 본 것은 무엇이든 기억하는 특별한 능력인 초기억증후군을 가진 전직 여경찰이 사건을 풀어나간다,"포피 몽고메리,딜란 월쉬,마이클 가스톤,케빈 랜킨"
64055000,인디필름,20240305211314,12,위험한 패밀리,"숨길 수 없는 액션 본능! 이 가족, 뭔가 수상하다!","로버트 드 니로,미셸 파이퍼,토미 리 존스"
66024000,인디필름,20240305223511,115,위험한 패밀리,"숨길 수 없는 액션 본능! 이 가족, 뭔가 수상하다!","로버트 드 니로,미셸 파이퍼,토미 리 존스"
61702000,인디필름,20240305212804,7,위험한 패밀리,"숨길 수 없는 액션 본능! 이 가족, 뭔가 수상하다!","로버트 드 니로,미셸 파이퍼,토미 리 존스"
61410000,이벤트TV,20240305235905,21,유찬의 가요를 부탁해(129회),"",""
65085000,이벤트TV,20240305225912,1878,유찬의 가요를 부탁해(129회),"",""
65070000,이벤트TV,20240305234751,12,유찬의 가요를 부탁해(129회),"",""
60024000,스크린골프존,20240305184103,1723,GTOUR도전 끝까지 간다2(8회),"",""
64962000,바둑TV,20240305033747,40,제25회 농심신라면배 세계바둑최강전,"",""
65824000,SBS골프2,20240305155937,0,2023 KPGA 코리안투어 골프존 오...,"",""
65824000,SBS골프2,20240305170125,0,2023 KPGA 코리안투어 골프존 오...,"",""
64599000,라이프타임,20240305032950,11,부부 살인사건의 전말(5회),"",""
66039000,라이프타임,20240305032829,5,부부 살인사건의 전말(5회),"",""
65696000,더무비,20240305025718,8,오아시스,사회에 적응하지 못하는 전과자 청년(설경구)과 뇌성마비 장애인 여성(문소리)의 사랑을 그린 멜로 드라마,"설경구,문소리,안내상,류승완,손병호,김진구"
65599000,더무비,20240305235111,5,최후의 출격,"","브래드 존슨,대니 글로버,윌렘 데포,로잔나 아퀘트"
64147000,더무비,20240305032940,5,오아시스,사회에 적응하지 못하는 전과자 청년(설경구)과 뇌성마비 장애인 여성(문소리)의 사랑을 그린 멜로 드라마,"설경구,문소리,안내상,류승완,손병호,김진구"
64124000,더무비,20240305095828,12,멋진 하루,"","전도연,하정우"
65599000,더무비,20240305050754,5,오아시스,사회에 적응하지 못하는 전과자 청년(설경구)과 뇌성마비 장애인 여성(문소리)의 사랑을 그린 멜로 드라마,"설경구,문소리,안내상,류승완,손병호,김진구"
60846000,더무비,20240305092726,5,멋진 하루,"","전도연,하정우"
65613000,더무비,20240305184433,37,원 웨이 티켓,"",""
62567000,더무비,20240305224505,6,최후의 출격,"","브래드 존슨,대니 글로버,윌렘 데포,로잔나 아퀘트"
